Date,INR
30-Dec-1997,39.25
31-Dec-1997,39.28
2-Jan-1998,39.26
5-Jan-1998,39.38
6-Jan-1998,39.63
7-Jan-1998,39.57
8-Jan-1998,39.65
9-Jan-1998,39.71
12-Jan-1998,39.82
13-Jan-1998,39.89
14-Jan-1998,40.18
15-Jan-1998,40.27
16-Jan-1998,40.36
19-Jan-1998,39.51
20-Jan-1998,38.74
21-Jan-1998,38.96
22-Jan-1998,38.88
23-Jan-1998,38.62
26-Jan-1998,38.62
27-Jan-1998,38.47
28-Jan-1998,38.71
29-Jan-1998,38.92
30-Jan-1998,
2-Feb-1998,38.77
3-Feb-1998,38.82
4-Feb-1998,38.64
5-Feb-1998,38.75
6-Feb-1998,38.75
9-Feb-1998,38.73
10-Feb-1998,38.74
11-Feb-1998,38.79
12-Feb-1998,38.8
13-Feb-1998,38.8
16-Feb-1998,38.83
17-Feb-1998,38.88
18-Feb-1998,38.86
19-Feb-1998,38.87
20-Feb-1998,38.91
23-Feb-1998,39.17
24-Feb-1998,39.29
25-Feb-1998,39.29
26-Feb-1998,39.27
27-Feb-1998,39.3
2-Mar-1998,39.35
3-Mar-1998,39.56
4-Mar-1998,39.39
5-Mar-1998,39.5
6-Mar-1998,39.48
9-Mar-1998,39.51
10-Mar-1998,39.49
11-Mar-1998,39.53
12-Mar-1998,39.51
13-Mar-1998,39.51
16-Mar-1998,39.5
17-Mar-1998,39.54
18-Mar-1998,39.54
19-Mar-1998,39.54
20-Mar-1998,39.54
23-Mar-1998,39.51
24-Mar-1998,39.54
25-Mar-1998,39.52
26-Mar-1998,39.51
27-Mar-1998,39.5
30-Mar-1998,39.52
31-Mar-1998,39.5
1-Apr-1998,
2-Apr-1998,39.48
3-Apr-1998,39.51
6-Apr-1998,39.51
7-Apr-1998,39.65
8-Apr-1998,39.65
9-Apr-1998,39.65
10-Apr-1998,39.65
13-Apr-1998,39.54
14-Apr-1998,39.54
15-Apr-1998,39.69
16-Apr-1998,39.73
17-Apr-1998,39.71
20-Apr-1998,39.7
21-Apr-1998,39.7
22-Apr-1998,39.73
23-Apr-1998,39.69
24-Apr-1998,39.71
27-Apr-1998,39.71
28-Apr-1998,39.71
29-Apr-1998,39.75
30-Apr-1998,39.73
1-May-1998,39.73
4-May-1998,39.73
5-May-1998,39.74
6-May-1998,39.78
7-May-1998,39.78
8-May-1998,39.78
11-May-1998,39.78
12-May-1998,39.78
13-May-1998,39.78
14-May-1998,40.38
15-May-1998,40.76
18-May-1998,40.45
19-May-1998,40.49
20-May-1998,40.5
21-May-1998,40.58
22-May-1998,40.63
25-May-1998,40.92
26-May-1998,41.13
27-May-1998,41.3
28-May-1998,41.29
29-May-1998,41.5
1-Jun-1998,41.79
2-Jun-1998,41.8
3-Jun-1998,41.8
4-Jun-1998,41.8
5-Jun-1998,41.8
8-Jun-1998,41.8
9-Jun-1998,42.15
10-Jun-1998,42.33
11-Jun-1998,42.38
12-Jun-1998,41.96
15-Jun-1998,42.27
16-Jun-1998,42.37
17-Jun-1998,42.25
18-Jun-1998,42.09
19-Jun-1998,42.2
22-Jun-1998,42.69
23-Jun-1998,42.92
24-Jun-1998,42.71
