iter	RMSE
517	4.459137815
518	4.456260055
519	4.453872169
520	4.449475954
521	4.448173279
522	4.44626571
523	4.445109769
524	4.444645647
525	4.444106176
526	4.44136672
527	4.437699483
528	4.431303293
529	4.430347387
530	4.425189245
531	4.423428812
532	4.422227198
533	4.418976268
534	4.417910524
535	4.416045739
536	4.411910269
537	4.409028075
538	4.407471861
539	4.406679417
540	4.403206456
541	4.40177425
542	4.396849425
543	4.392441401
544	4.388829728
545	4.386692054
546	4.382091181
547	4.381175663
548	4.379055476
549	4.37758841
550	4.376886702
551	4.375184336
552	4.373343084
553	4.36901267
554	4.366847863
555	4.36636789
556	4.36551297
557	4.364822332
558	4.361379042
559	4.36067192
560	4.356095619
561	4.353553627
562	4.347561148
563	4.346610326
564	4.343182052
565	4.341163607
566	4.34020329
567	4.339256166
568	4.336490621
569	4.33585027
570	4.332599171
571	4.331693754
572	4.328579417
573	4.326047954
574	4.323593077
575	4.32062244
576	4.32025321
577	4.319272922
578	4.318376248
579	4.314410295
580	4.31178852
581	4.311396499
582	4.309816144
583	4.307142918
584	4.306272578
585	4.304135118
586	4.302787722
587	4.298771137
588	4.298348597
589	4.297345396
590	4.296708998
591	4.293530078
592	4.291102674
593	4.290301086
594	4.286048645
595	4.283614239
596	4.279482545
597	4.278199455
598	4.276241118
599	4.273162373
600	4.270669425
601	4.268337938
602	4.267203197
603	4.2660602
604	4.26483644
605	4.262432504
606	4.260069763
607	4.258810002
608	4.253628395
609	4.252192558
610	4.248142374
611	4.247758236
612	4.244575913
613	4.241055853
614	4.238952478
615	4.234750626
616	4.233953916
617	4.228833727
618	4.227042155
619	4.224763781
620	4.222032177
621	4.220982598
622	4.216071505
623	4.215281323
624	4.212316299
625	4.209421384
626	4.206851355
627	4.204436579
628	4.200806805
629	4.200337452
630	4.196774166
631	4.194895041
632	4.192912178
633	4.191010344
634	4.189618011
635	4.187306703
636	4.185837665
637	4.184376211
638	4.181466608
639	4.178630574
640	4.178221756
641	4.177677067
642	4.175470919
643	4.174704609
644	4.172233993
645	4.170994649
646	4.169771654
647	4.166686915
648	4.165684385
649	4.163364589
650	4.159574139
651	4.156020257
652	4.153323899
653	4.15172207
654	4.149752122
655	4.147766862
656	4.146984041
657	4.14412526
658	4.142501268
659	4.139456973
660	4.137452914
661	4.135161497
662	4.134703645
663	4.133887358
664	4.132947339
665	4.131900123
666	4.130577124
667	4.129229997
668	4.128130379
669	4.123333836
670	4.118468208
671	4.113730222
672	4.110135574
673	4.107434269
674	4.105264698
675	4.102612144
676	4.100944884
677	4.099854531
678	4.099015506
679	4.097624926
680	4.097402026
681	4.095675354
682	4.093983913
683	4.093388504
684	4.090863169
685	4.08469993
686	4.083991149
687	4.083023921
688	4.082208224
689	4.081206433
690	4.078412985
691	4.075047219
692	4.073961376
693	4.070823794
694	4.070088267
695	4.067985313
696	4.06536337
697	4.063397322
698	4.061473758
699	4.0603124
700	4.059843918
701	4.058165252
702	4.056117239
703	4.053231724
704	4.050452919
705	4.048305563
706	4.045653071
707	4.043402591
708	4.041827145
709	4.041374767
710	4.040333226
711	4.039045022
712	4.037213468
713	4.03630596
714	4.033227092
715	4.032050307
716	4.026806298
717	4.024208719
718	4.021250959
719	4.018770066
720	4.017375375
721	4.015362933
722	4.013613173
723	4.012822462
724	4.011151962
